primary key,Category,Price Tier,Neighborhood,Opening Time,Closing Time,Average Rating,Good for kid
89,Lebanese,Medium,Richmond Hill,8:19,23:17,3.0,true
90,Indian,High,Kew Gardens,11:32,16:59,3.7,true
91,Moroccan,Medium,Jackson Heights,10:31,20:27,3.2,true
92,Filipino,High,Elmhurst,11:51,17:25,3.3,true
93,Thai,Low,Upper East Side,10:38,22:09,1.7,false
94,Korean,Low,Greenwich Village,10:43,17:41,3.8,true
95,Japanese,Low,Chinatown,9:51,21:24,1.7,false
96,Spanish,Medium,Douglaston,9:10,20:28,4.9,true
97,Thai,Low,Douglaston,8:54,23:56,4.1,true
98,Japanese,High,Richmond Hill,8:49,13:51,3.7,true
99,Argentine,High,Flatiron District,11:02,18:27,1.0,false
100,Thai,Medium,Meatpacking District,11:28,23:07,4.0,true
101,Japanese,High,Astoria,10:07,21:28,1.9,false
102,Thai,Medium,Flatiron District,9:22,12:59,1.6,true
103,American,High,Flatiron District,10:08,16:16,4.0,true
104,Peruvian,Low,Greenwich Village,8:34,23:15,2.9,true
105,Spanish,Low,Ridgewood,10:24,17:19,4.5,true
106,Japanese,High,Rego Park,8:59,18:39,3.6,false
107,Italian,High,Lower East Side,8:32,15:45,4.6,false
108,Turkish,Low,Murray Hill,8:01,15:20,3.6,false
109,Caribbean,High,Flatiron District,10:07,17:53,1.0,true
110,Turkish,High,Gramercy,11:25,16:21,4.7,true
111,American,High,Battery Park City,11:14,20:52,1.3,false
112,German,High,Queens Village,9:14,13:30,3.6,false
113,Mediterranean,High,Washington Heights,9:51,15:02,3.8,false
114,Filipino,Low,Middle Village,10:24,17:05,2.1,true
115,Caribbean,Medium,Glendale,11:34,15:48,2.9,true
116,German,High,Tribeca,10:31,12:51,1.3,true
117,Brazilian,Medium,Jackson Heights,10:40,20:18,3.3,false
118,Japanese,Low,Middle Village,11:34,14:39,4.7,false
119,Filipino,Medium,Upper West Side,10:00,12:07,3.8,false
120,Greek,Low,Ozone Park,10:31,17:46,3.2,false
121,Chinese,Medium,Astoria,9:30,14:00,3.7,true
122,Chinese,High,Middle Village,8:59,19:19,4.8,false
123,Moroccan,High,Gramercy,9:42,19:33,2.3,false
124,Spanish,Medium,Woodhaven,9:20,21:38,3.1,true
125,German,High,Flushing,9:27,15:01,3.7,true
126,Peruvian,Low,Midtown,10:22,12:59,4.5,false
127,Thai,Low,Fort George,8:33,18:30,3.4,true
128,Moroccan,Medium,Hollis,11:45,16:44,4.9,true
129,Greek,High,Bayside,10:03,12:11,3.8,false
130,Greek,Low,Tribeca,9:51,18:03,4.2,true
131,Russian,Medium,Financial District,10:13,14:25,4.9,true
132,Thai,High,Fresh Meadows,9:31,19:18,2.2,true
133,Italian,Low,Richmond Hill,9:21,14:00,4.1,false
134,Spanish,High,Queens Village,8:12,15:55,4.9,true
135,Japanese,Medium,Queens Village,10:12,12:58,3.6,false
136,Greek,High,Upper West Side,10:07,16:25,1.0,true
137,Peruvian,Medium,Little Italy,11:22,16:24,2.6,true
138,Korean,Medium,Chinatown,8:11,20:25,1.7,true
139,Mediterranean,Medium,Tribeca,10:29,18:36,3.8,true
140,Russian,Medium,Washington Heights,8:20,14:07,1.1,true
141,Greek,Low,Ridgewood,10:16,15:55,1.6,false
142,Peruvian,Low,Glendale,11:43,18:32,3.5,true
143,Korean,Medium,Hell's Kitchen,10:49,12:36,3.1,true
144,French,Low,Meatpacking District,10:05,23:39,4.8,false
145,Russian,Medium,Fort George,11:04,14:13,3.9,false
146,German,Medium,Midtown,9:07,23:26,2.9,true
147,Argentine,Low,Financial District,9:10,23:41,3.8,true
148,American,Medium,Fort George,10:26,23:36,4.7,true
149,Thai,Medium,Douglaston,10:42,22:48,3.3,true
150,Caribbean,Medium,Corona,9:55,15:02,1.4,true
151,Korean,High,Glendale,11:35,19:34,3.0,false
152,Polish,Medium,Corona,11:51,19:31,4.5,true
153,Japanese,Low,Washington Heights,9:59,12:17,4.7,true
154,Chinese,Medium,Murray Hill,9:53,16:50,4.4,false
155,Russian,High,Union Square,8:32,22:19,2.1,false
156,Ethiopian,High,Lower East Side,8:11,15:43,2.7,true
157,Brazilian,Low,Ozone Park,9:38,20:48,4.6,true
158,Argentine,Low,West Village,8:01,18:25,4.2,true
159,Polish,High,Inwood,9:47,22:36,3.4,true
160,French,Low,Fort George,10:50,12:12,2.4,true
161,Caribbean,High,Harlem,9:09,16:19,2.6,false
162,German,High,Fort George,9:54,22:06,2.8,false
163,Spanish,Low,Hollis,11:25,21:49,4.1,false
164,Brazilian,Medium,West Village,10:56,20:53,2.2,false
165,American,High,Sunnyside,8:43,16:17,3.3,false
166,Mediterranean,Medium,Inwood,9:29,18:37,3.8,false
167,Lebanese,Low,Battery Park City,11:30,22:00,3.0,true
168,Turkish,Low,Middle Village,11:57,19:16,2.0,true
169,Mediterranean,Medium,East Harlem,10:13,14:41,1.7,true
170,Turkish,Medium,East Harlem,8:30,19:24,3.2,false
171,Lebanese,High,Astoria,10:02,13:32,3.6,true
172,Italian,Low,Union Square,9:18,22:40,4.6,false
173,Thai,Medium,East Village,11:00,23:36,3.7,false
174,Russian,Low,Tribeca,10:19,21:11,3.2,false
175,Moroccan,Low,West Village,11:22,15:26,2.5,true
176,Japanese,High,Chelsea,9:10,22:41,2.4,false
177,Filipino,Medium,Corona,9:06,18:26,2.6,true
178,Polish,High,Kew Gardens,10:37,13:52,2.5,false
179,Moroccan,Medium,Meatpacking District,9:49,15:52,4.1,true
180,Caribbean,Medium,Rego Park,10:32,12:22,3.7,true
181,Ethiopian,Medium,Financial District,9:32,23:01,1.7,true
182,German,Low,Glendale,11:15,17:40,4.6,false
183,Ethiopian,Low,Greenwich Village,10:43,17:36,4.3,false
184,Argentine,Medium,Lower East Side,9:48,20:19,2.2,true
185,American,Medium,Hell's Kitchen,11:39,18:42,1.2,false
186,American,Low,Tribeca,9:50,23:45,2.8,true
187,Filipino,Low,Chelsea,9:16,21:44,2.5,false
188,German,Low,Astoria,9:24,23:43,3.1,true
189,Spanish,Low,Lower East Side,9:50,19:30,1.5,false
190,Greek,Medium,Flatiron District,10:16,12:09,1.8,true
191,Mediterranean,Medium,SoHo,10:42,19:36,4.2,false
192,Chinese,Medium,Meatpacking District,8:52,21:15,2.2,true
193,French,High,Murray Hill,9:24,18:48,1.1,false
194,Japanese,Low,Upper East Side,11:41,13:04,1.7,true
195,Greek,Medium,Astoria,10:59,20:15,1.7,true
196,Russian,Medium,Upper West Side,11:43,17:32,2.8,true
197,Argentine,High,Upper West Side,10:27,16:00,4.5,true
198,Lebanese,Medium,East Village,8:51,20:54,4.8,false
199,Chinese,Low,East Village,10:39,15:04,4.3,false
200,Mexican,High,Upper West Side,11:06,15:05,4.7,true
201,Filipino,Low,Union Square,11:49,18:39,3.8,false
202,American,High,Corona,9:25,19:57,4.1,true
203,French,Medium,East Harlem,10:01,19:43,2.1,false
204,Polish,High,Nolita,10:44,21:14,3.0,true
205,Caribbean,High,Forest Hills,8:33,23:10,2.4,false
206,Italian,Low,Sunnyside,10:40,17:54,4.6,false
207,Russian,Low,Ozone Park,8:14,23:12,4.4,false
208,French,Low,Battery Park City,11:46,17:08,1.1,true
209,Greek,Low,East Village,11:52,20:38,4.4,false
210,French,Medium,Fort George,9:20,15:50,3.1,true
211,Turkish,Medium,Flushing,11:29,21:41,1.1,true
212,Thai,Low,Greenwich Village,11:36,18:59,4.3,true
213,Polish,Medium,Rego Park,8:07,21:19,3.4,true
214,Mediterranean,Low,Upper West Side,8:26,19:31,3.0,false
215,Caribbean,Medium,Glendale,10:26,14:07,2.7,false
216,Argentine,Low,Little Italy,8:38,19:54,1.4,true
217,Turkish,Low,Queens Village,8:01,14:58,1.5,false
218,Polish,High,Sunnyside,9:46,13:50,2.5,false
219,Filipino,Low,Queens Village,10:43,18:08,1.7,false
220,Japanese,High,West Village,10:36,21:01,2.0,false
221,Indian,Medium,Meatpacking District,11:06,13:27,1.1,false
222,Argentine,Low,Corona,9:58,20:57,1.8,true
223,Mediterranean,High,Rego Park,10:38,20:06,3.7,true
224,Lebanese,High,Midtown,11:49,14:47,3.8,false
225,Russian,Medium,Financial District,11:01,21:44,4.2,false
226,Caribbean,High,Gramercy,11:23,16:14,3.4,true
227,American,High,Astoria,10:27,22:00,3.6,true
228,Korean,Medium,Chinatown,8:24,21:11,2.0,true
229,Argentine,Low,Chelsea,9:38,19:14,1.0,false
230,Vietnamese,Medium,Astoria,11:40,17:57,1.7,true
231,Caribbean,High,Woodside,11:24,13:52,1.5,true
232,Chinese,High,Nolita,10:02,15:06,2.6,true
233,German,High,East Village,10:00,14:48,3.4,true
234,Moroccan,Medium,Jackson Heights,10:31,20:32,3.9,false
235,Spanish,High,Hell's Kitchen,8:29,20:53,3.9,false
236,Caribbean,Medium,Astoria,10:01,23:40,4.5,false
237,Filipino,High,South Ozone Park,11:50,19:19,4.8,false
238,German,Low,Ozone Park,10:31,21:36,3.1,true
239,Korean,High,Jackson Heights,8:55,14:03,3.8,true
240,Mexican,Medium,SoHo,9:23,12:41,3.1,false
241,Spanish,Medium,Lower East Side,10:44,23:18,3.9,false
242,Thai,Low,Washington Heights,10:28,15:16,2.2,false
243,Indian,Low,Greenwich Village,11:32,14:50,2.5,true
244,Mediterranean,Low,Ozone Park,8:06,16:03,2.3,true
245,Brazilian,Low,Murray Hill,8:45,18:29,4.5,false
246,Filipino,Medium,Financial District,10:02,19:57,4.5,false
247,Mexican,Medium,Jackson Heights,11:08,22:17,2.0,true
248,Filipino,Low,Richmond Hill,8:41,12:04,2.0,false
249,Peruvian,Medium,Rego Park,9:57,17:33,3.6,false
250,Mexican,Medium,Financial District,10:50,23:14,3.8,true
251,Filipino,Medium,Tribeca,8:02,12:59,2.1,true
252,Filipino,Medium,Tribeca,11:29,22:59,3.4,false
253,Mexican,Medium,Murray Hill,9:52,12:36,2.1,false
254,American,Low,Battery Park City,10:19,23:34,4.2,true
255,Ethiopian,Medium,Elmhurst,11:08,18:13,1.4,true
256,Mediterranean,Medium,Upper East Side,9:29,23:44,3.1,true
257,Indian,Low,Sunnyside,9:58,18:19,1.3,true
258,Vietnamese,Medium,Richmond Hill,11:04,22:16,2.3,true
259,Thai,Medium,Flushing,9:35,17:54,3.7,true
260,Japanese,Medium,Union Square,10:02,12:57,1.6,true
261,Filipino,Low,Gramercy,11:49,21:18,5.0,false
262,Thai,Low,Kew Gardens,10:28,15:48,3.6,false
263,Mediterranean,Medium,Upper West Side,11:30,15:57,2.1,false
264,Lebanese,Medium,Astoria,11:18,16:03,4.8,true
265,Filipino,High,Financial District,11:41,13:54,3.5,true
266,Argentine,Medium,Rego Park,11:52,16:22,4.4,false
267,French,Low,Little Italy,8:28,17:10,5.0,true
268,Chinese,High,Sunnyside,11:04,21:53,3.4,true
269,Indian,High,Upper East Side,11:58,22:50,2.3,true
270,American,Low,Chinatown,10:59,20:30,1.2,true
271,Thai,Medium,Murray Hill,8:20,23:37,4.2,false
272,French,High,Chinatown,8:19,16:28,1.7,true
273,French,High,Little Neck,11:01,19:52,1.6,false
274,Caribbean,Medium,Middle Village,11:57,14:07,2.2,false
275,Mexican,Low,East Harlem,9:18,16:22,4.7,false
276,Moroccan,High,Bayside,8:40,19:13,3.6,true
277,Italian,High,Elmhurst,10:41,13:18,1.8,false
278,Peruvian,Medium,East Village,9:18,12:51,1.9,true
279,Russian,Low,Gramercy,11:05,18:52,3.5,true
280,Russian,Low,Greenwich Village,10:25,21:31,4.9,true
281,Mexican,Medium,Flushing,8:14,23:29,3.9,true
282,Argentine,High,Fresh Meadows,11:46,13:29,1.4,false
283,Vietnamese,High,Flushing,8:04,12:03,4.9,false
284,Caribbean,Low,Jackson Heights,10:36,16:31,5.0,true
285,Greek,High,Meatpacking District,9:55,15:37,1.3,true
286,Korean,Medium,Washington Heights,11:40,16:30,1.5,true
287,Chinese,Medium,Astoria,11:00,15:57,2.8,false
288,Mexican,Medium,Corona,11:00,20:05,1.2,false
289,Peruvian,High,Jackson Heights,10:02,14:28,4.4,false
290,Indian,Low,Murray Hill,8:36,15:26,3.6,true
291,French,Medium,Flatiron District,10:46,17:28,1.9,true
292,Moroccan,Low,Ozone Park,10:12,18:11,4.9,false
293,Japanese,High,West Village,10:29,15:39,2.7,true
294,Korean,Low,Long Island City,10:01,15:53,1.4,true
295,Russian,Low,Union Square,11:55,14:13,3.0,false
296,Polish,Low,Ridgewood,8:47,16:05,2.8,true
297,German,Medium,Little Italy,10:38,22:38,1.5,true
298,Argentine,Medium,Battery Park City,11:06,20:52,2.6,false
299,American,High,Jamaica,11:47,18:31,2.0,true
300,American,Medium,Lower East Side,9:55,23:03,2.1,false
301,Argentine,Medium,Flushing,9:09,14:06,2.5,false
302,Spanish,Low,Upper West Side,11:57,15:19,1.9,false
303,Japanese,Low,Gramercy,11:04,12:38,2.0,false
304,Chinese,High,Fort George,9:53,18:41,2.5,false
305,Filipino,Medium,Woodhaven,8:04,17:54,2.7,false
306,Moroccan,Medium,Meatpacking District,11:40,12:59,2.3,false
307,Peruvian,High,Elmhurst,10:29,22:06,4.4,false
308,Italian,Low,Hollis,11:35,23:32,3.9,true
309,Peruvian,Medium,Kew Gardens,10:15,22:40,3.6,true
310,Italian,Low,Morningside Heights,11:49,15:32,3.9,true
311,Caribbean,Low,Woodhaven,9:37,14:43,5.0,true
312,Thai,Low,Jackson Heights,9:44,21:59,3.3,true
313,German,Low,Fort George,10:20,17:16,4.2,false
314,Greek,High,Ridgewood,10:29,17:43,4.7,true
315,Lebanese,Medium,Fort George,11:07,19:54,2.1,false
316,Indian,Medium,Ozone Park,9:18,13:11,1.1,true
317,Ethiopian,Medium,West Village,8:27,20:35,4.4,true
318,Caribbean,Medium,Richmond Hill,11:22,14:44,2.1,true
319,Indian,Low,Douglaston,11:03,16:01,4.1,true
320,Ethiopian,Low,Murray Hill,10:48,15:37,2.4,false
321,Greek,Low,Forest Hills,8:48,16:39,1.9,false
322,Chinese,Low,Corona,8:01,21:32,3.0,false
323,Thai,Medium,Union Square,9:02,15:01,3.3,true
324,American,High,Ridgewood,8:20,14:14,2.2,false
325,Brazilian,Medium,Queens Village,9:45,13:06,2.3,true
326,Lebanese,High,Upper West Side,10:48,20:09,1.6,false
327,Peruvian,Medium,Hollis,10:31,23:53,1.9,true
328,Spanish,High,Washington Heights,10:33,12:34,1.1,false
329,Vietnamese,Low,Greenwich Village,10:32,21:56,2.1,true
330,French,Low,Middle Village,8:04,17:12,5.0,true
331,Spanish,Low,Chinatown,10:22,23:31,2.7,false
332,Vietnamese,Low,Hollis,9:14,17:25,4.1,true
333,Spanish,Low,Forest Hills,10:03,12:49,2.1,false
334,Korean,Low,Elmhurst,11:41,23:15,1.1,false
335,Indian,Low,Astoria,10:47,14:51,2.3,false
336,Polish,Medium,Woodside,9:28,18:40,2.2,false
337,Thai,Low,Hell's Kitchen,8:19,13:49,1.0,true
338,Moroccan,Low,Financial District,8:55,21:59,4.3,false
339,Thai,High,Glendale,11:33,18:52,4.4,true
340,French,Medium,Sunnyside,10:40,14:15,2.9,false
341,French,High,South Ozone Park,9:44,15:21,4.9,true
342,Spanish,High,Ozone Park,9:36,13:03,4.1,true
343,Mediterranean,High,Forest Hills,9:30,16:34,2.6,true
344,Turkish,Low,Harlem,11:24,16:16,1.2,true
345,French,Medium,Meatpacking District,10:05,23:09,3.0,false
346,Mexican,Medium,Upper East Side,9:35,13:49,1.0,true
347,Caribbean,Medium,Midtown,10:24,20:58,3.2,false
348,Moroccan,Low,Little Italy,9:04,21:45,3.6,true
349,Korean,Low,South Ozone Park,11:02,12:32,4.7,false
350,German,Low,Woodhaven,8:29,17:31,1.6,true
351,Ethiopian,Low,Queens Village,11:22,12:52,3.3,false
352,Mediterranean,Medium,Forest Hills,10:53,19:04,1.9,false
353,Spanish,High,South Ozone Park,11:54,14:31,5.0,false
354,French,High,Meatpacking District,11:47,21:07,3.3,true
355,Ethiopian,High,Union Square,9:48,22:56,2.1,true
356,Greek,Low,West Village,11:58,17:52,3.6,false
357,Turkish,Low,Bayside,9:35,12:52,2.9,false
358,Ethiopian,High,Ozone Park,8:08,14:08,1.4,false
359,Polish,Low,Elmhurst,8:41,19:49,3.4,false
360,Argentine,High,East Harlem,8:05,19:52,1.4,true
361,Turkish,High,Gramercy,10:40,23:26,3.2,true
362,Chinese,Medium,West Village,11:17,18:23,4.1,false
363,Mexican,Low,Jackson Heights,11:36,12:09,1.8,false
364,Argentine,High,Woodside,11:55,13:46,3.0,true
365,Ethiopian,High,Long Island City,10:59,16:38,3.6,true
366,Peruvian,Medium,Queens Village,8:10,20:00,1.0,true
367,Polish,Medium,Corona,8:57,22:21,3.3,true
368,Greek,Low,Flatiron District,11:19,20:57,2.1,false
369,Greek,Low,Ozone Park,9:40,16:30,1.1,false
370,Vietnamese,Low,Douglaston,11:53,17:00,1.4,true
371,Russian,Low,Inwood,10:18,20:06,3.2,true
372,Italian,Low,Lower East Side,11:05,20:03,3.4,true
373,Japanese,Medium,Washington Heights,8:18,14:05,3.8,false
374,American,Low,Ridgewood,10:28,16:17,1.6,true
375,Korean,Medium,Upper East Side,11:42,13:31,4.7,true
376,Mediterranean,Low,Bayside,8:18,17:52,5.0,false
377,Russian,Low,Sunnyside,10:46,19:45,1.7,false
378,Polish,High,Douglaston,9:10,14:45,2.4,true
379,Spanish,Low,Corona,10:29,17:36,3.2,true
380,Italian,High,Flushing,11:38,22:39,4.1,false
381,Italian,Medium,Corona,11:48,16:55,3.8,true
382,Russian,Medium,Ozone Park,10:25,13:05,4.3,true
383,German,Medium,Flatiron District,10:21,12:13,2.1,false
384,Moroccan,Medium,Lower East Side,10:33,17:18,1.6,true
385,Argentine,High,Little Neck,10:52,12:44,1.7,true
386,Peruvian,Low,Meatpacking District,8:44,12:52,2.9,true
387,Korean,High,Ozone Park,10:40,21:34,1.3,false
388,Spanish,Low,Lower East Side,8:32,23:03,3.5,true
389,Argentine,Medium,Sunnyside,8:07,16:32,4.0,false
390,Polish,High,Elmhurst,10:11,21:47,3.2,false
391,French,High,Middle Village,8:44,12:13,1.5,false
392,Thai,Low,Elmhurst,9:59,18:13,1.4,true
393,Chinese,Low,Nolita,11:53,16:03,1.7,false
394,Korean,Medium,Battery Park City,10:10,14:04,1.4,true
395,Mexican,Low,Rego Park,11:18,23:17,4.3,true
396,American,Medium,Bayside,11:40,18:51,2.9,false
397,Mexican,Low,West Village,10:24,21:52,4.6,true
398,Chinese,High,Middle Village,10:39,19:10,2.0,true
399,American,Medium,Chinatown,11:53,12:10,1.1,true
400,Greek,Low,Sunnyside,11:17,15:24,4.4,true
401,Japanese,High,Corona,9:11,22:31,1.5,true
402,Mexican,Medium,Tribeca,11:41,17:30,2.0,true
403,Lebanese,High,Corona,9:15,23:39,2.9,true
404,Argentine,Low,Astoria,8:39,12:32,2.1,false
405,Polish,Low,Little Neck,8:02,20:20,1.9,false
406,German,High,Ozone Park,8:01,22:04,1.2,true
407,Polish,High,Richmond Hill,11:46,22:04,2.4,false
408,Indian,Low,Washington Heights,9:03,21:21,3.8,true
409,Lebanese,High,Midtown,8:12,13:54,5.0,true
410,Italian,High,Chelsea,8:13,15:04,1.7,false
411,Korean,Medium,Middle Village,11:12,18:16,2.8,true
412,Korean,Low,Midtown,11:51,21:41,3.9,true
413,Japanese,Low,Fresh Meadows,9:52,22:24,2.5,false
414,Moroccan,High,Bayside,9:55,17:02,2.7,false
415,Indian,Low,Glendale,8:02,13:26,2.9,false
416,Japanese,High,Hell's Kitchen,9:57,16:13,4.5,true
417,French,Medium,Little Italy,8:01,16:11,4.8,true
418,Vietnamese,Medium,Greenwich Village,9:02,20:36,2.9,true
419,Filipino,Low,Kew Gardens,8:14,21:27,1.8,false
420,Korean,Low,Hell's Kitchen,11:56,14:52,1.2,true
421,Polish,High,Woodside,10:15,12:00,3.7,true
422,American,High,Washington Heights,9:26,23:16,3.0,true
423,Moroccan,High,Lower East Side,10:17,17:09,2.6,false
424,Turkish,Low,Woodhaven,9:41,15:56,1.1,true
425,Moroccan,Low,Douglaston,11:08,14:02,3.7,false
426,Polish,Medium,South Ozone Park,11:35,22:40,3.3,true
427,Spanish,Low,Morningside Heights,10:53,19:28,4.6,false
428,Indian,Medium,Kew Gardens,10:40,16:02,2.5,false
429,Greek,Medium,Meatpacking District,9:16,23:20,2.5,true
430,American,Low,Corona,10:27,19:33,2.0,false
431,Polish,Medium,Flatiron District,9:13,13:43,4.1,true
432,Vietnamese,High,Lower East Side,8:57,19:08,4.9,false
433,Lebanese,Low,Glendale,11:32,23:18,1.2,false
434,French,High,Tribeca,11:38,19:01,3.9,true
435,Russian,Medium,Bayside,9:57,23:45,4.5,true
436,Thai,High,Corona,11:26,16:52,3.4,false
437,Korean,Medium,Sunnyside,10:53,21:10,3.2,false
438,Moroccan,High,Chinatown,9:01,21:56,3.3,false
439,Russian,Medium,Douglaston,8:59,20:29,4.8,true
440,Caribbean,Low,East Village,11:24,18:28,1.8,true
441,Italian,Low,Flatiron District,10:13,12:00,3.0,true
442,Peruvian,High,Hollis,8:40,14:02,1.3,true
443,Mexican,Medium,East Village,8:09,14:51,3.1,true
444,German,Medium,Washington Heights,10:05,13:27,2.8,false
445,Indian,Low,Murray Hill,11:38,16:56,3.6,false
446,Thai,High,Richmond Hill,10:37,23:38,2.5,false
447,Moroccan,High,Corona,8:58,12:32,4.3,false
448,Argentine,Medium,Forest Hills,10:29,12:44,1.5,true
449,Peruvian,High,Nolita,10:34,23:11,4.0,false
450,Mediterranean,Low,Murray Hill,9:10,16:48,3.0,false
451,Filipino,Low,SoHo,9:33,21:10,4.9,true
452,Mediterranean,Low,Washington Heights,8:56,12:22,1.5,false
453,Chinese,Medium,Nolita,8:59,12:45,1.4,false
454,Turkish,High,Lower East Side,10:58,17:21,2.1,false
455,Indian,High,Astoria,8:39,20:22,4.3,false
456,American,High,Tribeca,8:11,17:21,1.7,true
457,Indian,Low,Financial District,10:25,13:35,1.2,true
458,Turkish,Low,Long Island City,8:47,15:11,4.6,false
459,Greek,High,South Ozone Park,9:31,16:16,4.6,false
460,Mexican,Low,South Ozone Park,10:54,15:26,2.2,false
461,Peruvian,Low,Murray Hill,10:41,21:32,3.4,false
462,Brazilian,Low,Jamaica,9:48,18:58,4.1,false
463,American,Low,Jackson Heights,10:16,23:02,3.1,true
464,Greek,Medium,Washington Heights,10:35,15:22,2.3,true
465,Brazilian,Medium,East Village,10:52,12:47,3.3,true
